Row Labels,Count of action
telling,171
refusing,67
not letting,36
not wanting,31
calling,23
getting,23
asking,22
saying,21
not giving,19
not telling,17
being,15
making,15
kicking,14
giving,14
wanting,14
yelling,10
going,9
buying,9
not allowing,8
taking,7
letting,7
leaving,6
Putting,6
not inviting,6
allowing,6
not,6
having,6
snapping,5
walking,5
throwing,5
not having,4
causing,4
reminding,4
expecting,4
using,4
forcing,4
not returning,4
banning,4
reporting,4
blowing,4
thinking,4
selling,3
Not Punishing,3
still,3
laughing,3
correcting,3
locking,3
standing,3
charging,3
not paying,3
not apologizing,3
not sharing,3
told,3
screaming,3
don't,3
showing,3
not going,3
stealing,3
not helping,3
not making,3
hiding,3
keeping,2
pointing,2
bringing,2
not cleaning,2
demanding,2
not considering,2
threatening,2
writing,2
paying,2
tell,2
not accepting,2
declining,2
insisting,2
left,2
spending,2
freaking,2
sued,2
backing,2
ordering,2
teaching,2
planning,2
not learning,2
Pouring,2
not leaving,2
embarrassing,2
ignoring,2
not accommodating,2
lying,2
shouting,2
moving,2
crying,2
'stealing',2
not attending,2
flipping,2
holding,2
not splitting,2
cussing,2
not trying,2
not waiting,2
cooking,2
not eating,2
choosing,2
not being,2
trying,2
not calling,2
not changing,2
accusing,2
accidentally,1
parking,1
advising,1
‘being,1
referring,1
kicking off,1
spoiling,1
kidnapping,1
turning,1
lashing,1
pre,1
clovering,1
reported,1
confronting,1
shaming,1
considering,1
stole,1
constantly,1
adopting,1
liking,1
openly,1
locked,1
playing,1
contacting,1
canceling,1
losing,1
rejecting,1
continuing,1
Returning,1
“abandoning”,1
sending,1
contradicting,1
siding,1
muting,1
staying,1
my,1
suggesting,1
naming,1
choose,1
Convincing,1
towing,1
'going,1
closing,1
announcing,1
overreacting,1
not agreeing,1
persuading,1
countermand,1
potentially,1
cried,1
publicly,1
not asking,1
ratting,1
crocheting,1
refused,1
booting,1
removing,1
not being chatty or giggly,1
requesting,1
not bothering,1
rudely,1
not buying,1
gambling,1
cursing,1
set,1
boss,1
gave,1
decide,1
'blocking',1
not co-signing,1
start,1
bought,1
sternly,1
not cooking,1
storming,1
not correcting,1
supporting,1
defending,1
talking,1
 holding a grudge,1
implicitly,1
not delivering,1
insulting,1
not doing,1
invading my friend's privacy?,1
deliberately,1
inviting,1
arguing,1
only,1
wearing,1
Called,1
witholding,1
overruling,1
Accusing my Parents of Being a Bad Parents to my Deaf Sister?,1
exposing,1
directly,1
fighting,1
disabling,1
'holding,1
disagreeing,1
for,1
not honoring,1
prioritizing,1
not including,1
punishing,1
NOT INFORMING,1
raising,1
doing,1
recording,1
building,1
refuse,1
don’t want,1
accept,1
“making,1
cancelling,1
not look,1
report,1
donating,1
full-on,1
not offering,1
resenting,1
dressing,1
revealing,1
not personally,1
ruining,1
not picking,1
scattering,1
not pronouncing,1
gaslighting,1
drinking,1
sent,1
not pushing,1
setting,1
not quitting,1
shopping,1
not rehoming,1
'humiliating',1
not renewing,1
singling,1
not responding,1
CCing,1
eating,1
celebrating,1
not scoring,1
starting a fight,1
not selling,1
helping,1
not serving,1
changing,1
emasculating,1
stop,1
not siding,1
hiring,1
asked,1
suing,1
not sticking,1
take,1
not supporting,1
taking vacation,1
not switching,1
hurting,1
not taking,1
accused,1
“publicizing”,1
implying my coworker's baby is ugly,1
not tipping,1
tipping,1
Not Tipping?,1
took,1
enforcing,1
travelling without,1
not using,1
trying to put a woman in the kitchen,1
evicting,1
uninviting,1
not waking,1
waking,1
“showing,1
offering,1
not explaining,1
withdrawing,1
not funding,1
won't let,1
not getting,1
“lying”,1
not covering,1
not deleting,1
